,0
WT1,5
1552632_a_at,1
CLEC4D,1
KBTBD6,1
ZNF709,2
ABCA13,1
BICD1,1
DGKE,4
ACY3,2
LZTS2,1
RBPMS,2
MEIS1,3
MPP7,1
WASIR2,4
RPL30,1
PFKP,2
ATP1B1,3
IVNS1ABP,2
SOX4,1
RCN2,1
TGFBI,2
DUSP3,1
FHL1,2
IFNGR2,1
CTDSPL,2
LTF,2
TSPO,2
DDAH2,3
DHFRP1,1
CRIM1,2
CSDE1,1
SLPI,3
CCNA2,1
BAK1,1
GCA,2
WIPI1,1
CYBB,1
MMP9,3
AURKA,1
CPOX,1
MYL6B,1
ALOX5AP,2
PROM1,4
S100P,3
GALC,1
SOX12,2
PPP1R3D,1
TFF3,3
HHEX,1
HAGH,1
ORM1,3
QPCT,2
ADD2,1
GNA15,2
TCN1,3
CDA,3
S100A12,1
HK3,1
TNFAIP6,1
ARG1,2
CA4,1
SPINK2,3
GALNS,1
LIN7A,3
MGAM,2
PPEF1,1
APOBEC3A,2
APMAP,2
FLT3,4
CEACAM8,3
HP,3
HOXA7,4
RNASE3,2
ELANE,4
LILRA3,1
IL18RAP,2
DEFA4,2
MMP8,3
PGLYRP1,3
CRISP3,4
AMPD3,2
CHIT1,2
ACKR1,1
FGR,1
CD24,4
SAP18,2
REEP5,1
KLF5,2
THAP12,1
ANXA3,3
TM4SF1,2
SPON1,3
AURKB,2
RPA3,3
GNAI1,4
MINPP1,1
TST,3
GATA2,3
FRAT2,1
TCL1A,1
CAMP,3
210254_at,2
211820_x_at,1
ATP6V0D1,1
TUBA4A,2
GRPEL1,2
LCN2,3
ARHGAP19,1
OBSL1,3
FTLP3,1
ANKRD28,2
HOXA10,3
SMPDL3A,1
ABHD5,1
RPL22,1
214475_x_at,1
CEBPE,2
AZU1,2
DPY19L1P1,1
TSC22D1,1
RPL3,1
SFXN3,1
RAB31,1
BZW2,1
MSRB1,2
CCNB1IP1,2
UFM1,1
218086_at,3
AKTIP,1
SFXN1,1
PLBD1,2
C11orf95,3
DYSF,1
EGFL7,3
CHD7,2
DEPTOR,3
MYO5C,3
INAVA,1
RNF34,1
NPR3,4
PCOLCE2,2
ROBO3,3
LRP12,3
CD177,1
RPL36,1
CLEC5A,3
TM6SF1,1
LGALSL,1
KCNE5,1
CRYBG2,1
RETN,2
TRAPPC14,1
DNMT3B,3
PRG3,1
PECR,1
CDCA3,1
B4GALT5,2
221952_x_at,2
SLCO4C1,1
NUDT5,1
CCNDBP1,1
EBPL,2
ZNRF1,1
TMEM120A,1
LRRC4,1
ROPN1L,1
MEX3B,3
LGALS12,1
223894_s_at,1
SRA1,1
REPS1,1
CYSTM1,2
KIAA1522,1
CRAMP1,1
BTBD6,2
PAN3,1
SKA2P1,1
RRP36,1
TMCC3,1
ZNF521,3
C8orf58,3
ANKRD37,1
SHANK3,3
SLC45A3,2
LINC01341,4
NPM2,2
PCAT6,2
GJB6,1
TLCD4,1
LRR1,1
235142_at,3
235171_at,2
MCEMP1,1
RGL4,2
ANKRD22,2
COL24A1,3
239580_at,2
DZIP1L,1
PAQR7,1
PAN3-AS1,3
MSI2,1
RXFP1,2
NEGR1,2
NKX2-3,3
CEL,2
WDR49,2
S100Z,2
1554892_a_at,1
1555564_a_at,2
1557919_a_at,1
GATA2-AS1,1
PTTG1IP,1
CD59,1
CKAP4,1
CD99,1
CTTN,2
PCNA,1
GYS1,1
CCND3,1
RRM2,1
KAT2A,1
TACSTD2,2
