,0
SERPING1,4
LUZP1,1
C9orf43,2
SIRPB1,2
NLRP12,1
CD96,4
MS4A4A,1
MTMR11,2
MROCKI,1
VNN1,1
WASIR2,2
1570445_a_at,3
CAP1,1
LAMC1,3
PPIB,1
MMP2,3
SLC7A5,1
IVNS1ABP,2
ITGA5,1
IGF2R,1
TGFBI,3
KDM5B,4
FSCN1,4
KRT18,4
CCND3,3
SCCPDH,1
EXT2,3
LTF,3
EFNA1,4
PLIN3,2
MVP,1
PLOD3,1
ATP5MJ,1
TACSTD2,1
GABBR1,1
LSP1,1
S100A9,2
HMOX1,1
TMED1,1
CEACAM6,2
ST3GAL4,4
SLA,1
GCA,1
HLA-DMB,1
MMP9,2
ENPP4,1
ALOX5AP,2
MT1X,1
KYNU,1
ARHGAP4,3
STAR,3
TFF3,1
HOMER3,4
F5,1
ORM1,2
QPCT,2
NMB,2
FCN1,2
GNA15,3
CFD,4
TCN1,3
AQP9,1
CPA3,2
CDA,2
BCL2A1,1
BST1,1
AKAP7,1
ITGAM,3
S100A12,3
VNN2,1
HK3,2
WT1,4
ARG1,2
IGSF6,1
LTC4S,2
MGAM,1
SIX3,3
CEACAM8,2
LILRA3,1
LPAR4,2
ST13,1
LILRB1,1
DEFA4,2
MMP8,2
PGLYRP1,2
THEMIS2,1
LILRB2,2
CRISP3,2
CEACAM3,1
VOPP1,2
SOCS5,1
CHIT1,2
FGR,2
LILRA6,1
PDIA3,1
CD24,1
PINK1-AS,1
LTA4H,2
ELOVL5,1
KRT8P3,1
DGKZ,1
TUBB6,1
KLF5,2
ANXA3,2
ASMTL,1
SYNE1,2
S100B,3
ADAM19,1
FRAT2,1
NCF2,2
MAPK13,1
MARCHF2,1
KCNJ15,1
PLA2G4A,1
IRX5,3
CAMP,2
LST1,2
PTGDS,4
ATP6V0D1,1
KCTD12,1
MXRA7,3
LCN2,2
OBSL1,2
ANKRD28,1
PLCL2,1
RNASE6,3
SMPDL3A,1
CTSW,4
GPR65,1
DNM1,4
TYMP,1
S100A6,2
RAB31,2
NT5DC2,3
C20orf27,2
RMND5B,1
BEX1,2
PLBD1,2
POMT1,2
PARP12,1
C11orf95,3
IFT22,3
SLC35F2,3
CSGALNACT1,1
TASP1,1
MS4A6A,2
DHRS9,1
CYTL1,4
PSTPIP2,1
P2RY13,2
EVA1B,3
TLR8,1
MANSC1,1
PECR,1
SIRT3,1
ARHGEF10L,1
221724_s_at,1
KDM7A,1
SHTN1,1
GPR153,4
FGFRL1,1
KIAA1549,4
FAM160A2,1
ARHGAP9,1
UBE2Q2,1
STIM2,1
COL27A1,2
SLC25A29,3
VSIR,1
MIR100HG,3
FBRSL1,2
PPM1M,2
BCRP2,1
MPEG1,2
SGMS2,1
C8orf58,2
TMC8,2
EPSTI1,1
MPZL3,1
FAM98C,1
JAML,1
LINC00888,3
GGTA1,1
BTBD11,1
ITGB2-AS1,2
COL23A1,3
LRRK2,1
TMEM220,1
230856_at,1
PLAAT5,4
ANKRD35,3
SIRPD,2
LDLRAD3,3
BCL2L15,1
TMEM154,1
ARMH1,4
DZIP1L,1
ZNF385C,3
NPW,4
243957_at,1
CYP2E1,2
CPA6,2
ZNF57,2
ITGB2,1
PTPRM,1
HSPA4L,1
KDSR,1
CABLES1,3
TPM4,1
1568600_at,1
CKB,2
CKAP4,1
CD99,3
PFKP,2
HLA-DPB1,1
AKR1B1,2
DLG5,2
TSPO,1
CPNE3,1
STXBP1,2
IGFBP2,1
ITM2A,2
CTSS,1
S100A8,1
MAP1A,2
KATNB1,1
PMM1,1
PALM,3
SMARCA1,3
NR1H3,2
IRF8,2
TPM2,1
CD37,2
AK4P3,2
SELL,1
SLC7A7,2
RBMS2,1
MST1,3
PRRG1,2
CYP27B1,2
TSPOAP1,2
CCNA1,3
CYP4F3,1
EFEMP2,2
TRH,2
ASS1,2
LTK,2
PTGER1,2
LAX1,1
ZNF711,2
LILRA2,1
PDE3B,2
HLA-DRA,1
CDC42EP3,2
ECM1,2
CHI3L1,1
DLK1,3
HGF,3
CLIP2,2
MLLT11,2
COL4A2,2
212481_s_at,1
C1orf216,1
COL4A5,2
MTCL1,3
HOMER1,2
ZNF804A,1
GDF11,2
HLA-DMA,1
MAFB,1
ARMCX1,2
C5AR1,1
TSPAN32,1
PLEKHA5,2
MICALL1,1
222222_s_at,2
CLDN12,2
LGALS12,2
CERCAM,2
GPT2,2
PAPLN,2
ZNF251,1
LOXL4,2
SHANK3,2
DDIT4L,3
TDRD9,2
DEPDC7,2
NANOS1,2
RTN4R,2
TAFA5,3
NCR3LG1,2
GLT1D1,1
PRKAR1B-AS1,1
IRX1,2
LINC01341,1
TRIM71,2
CDH26,2
HECW2-AS1,1
LOXL1-AS1,2
235142_at,2
PGBD1,2
CRNDE,2
PRR34-AS1,1
DPY19L2,2
LINC01114,2
PAN3-AS1,2
244498_x_at,2
NAV3,2
KLHL35,1
MTSS2,1
DHX30,1
PTPRG,1
DNMT1,1
202085_at,1
FOXK2,1
203368_at,1
EMILIN1,2
NFE2L3,1
NAP1L3,1
GCHFR,1
IL10RA,1
VWA5A,1
CCR1,1
AFF2,2
CD180,1
UPK3A,1
ZNF45,1
METTL7A,1
MEF2C,1
FLNB,1
FBP1,1
ZNF257,1
ADGRG6,1
MAN1C1,1
FBXW4P1,1
RETREG1,1
E4F1,1
TCIM,1
LRRC20,1
KCTD15,1
RASAL2,1
DCUN1D2,1
WDCP,1
EFCC1,1
NCOA7,1
PABIR1,1
KLHL13,1
GLIS3,1
PRLHR,1
LINC00865,1
ZSWIM5,1
GALM,1
CCDC78,1
UMODL1,1
RAB7B,1
SVOPL,1
STAP1,1
MICALL2,1
ERVFRD-1,1
SSBP2,1
AMN,1
BEND6,1
HYOU1,1
CALR,1
RCN1,1
TIMP1,1
FBLN1,1
MPZL1,1
DDAH2,1
B4GAT1,1
CAV2,1
TPBG,1
PPP1R26,1
VDAC1P8,1
MYRF,1
PRAME,1
AK4,1
F3,1
SLC16A2,1
MT1G,1
PDPN,1
AHDC1,1
GGT5,1
TEC,1
MT1H,1
FLT3,1
CDKN2A,1
PPARG,1
SAP18,1
ADRA2A,1
AGO3,1
PXDN,1
MT2A,1
MYO1B,1
MFAP4,1
NAB2,1
JAM3,1
TTC28,1
OLFML2B,1
IQCK,1
KIAA0895,1
COL2A1,1
CFH,1
CLMN,1
THSD7A,1
TNFRSF4,1
FNBP1L,1
LHFPL6,1
EGFL7,1
CERS4,1
SLC24A3,1
PGBD5,1
OGDHL,1
AVEN,1
MTARC2,1
NRIP3,1
TRIM36,1
KCNE5,1
RAB15,1
ZDHHC9,1
NAT14,1
FBXW9,1
MEX3B,1
KCNK17,1
NDFIP2,1
PHYHD1,1
EBF3,1
MAMDC2,1
RBFOX3,1
IRX3,1
A1BG,1
DNAAF3,1
SNORC,1
PCAT6,1
NOG,1
MEG8,1
TPTE2P6,1
235416_at,1
BMS1P1,1
NUDT10,1
SIX3-AS1,1
