,freq
SERPING1,4
CD96,4
1570445_a_at,3
LAMC1,3
MMP2,3
TGFBI,3
KDM5B,4
FSCN1,4
KRT18,4
CCND3,3
EXT2,3
LTF,3
EFNA1,4
ST3GAL4,4
ARHGAP4,3
STAR,3
HOMER3,4
GNA15,3
CFD,4
TCN1,3
ITGAM,3
S100A12,3
WT1,4
SIX3,3
S100B,3
IRX5,3
PTGDS,4
MXRA7,3
RNASE6,3
CTSW,4
DNM1,4
NT5DC2,3
C11orf95,3
IFT22,3
SLC35F2,3
CYTL1,4
EVA1B,3
GPR153,4
KIAA1549,4
SLC25A29,3
MIR100HG,3
LINC00888,3
COL23A1,3
PLAAT5,4
ANKRD35,3
LDLRAD3,3
ARMH1,4
ZNF385C,3
NPW,4
CABLES1,3
CD99,3
PALM,3
SMARCA1,3
MST1,3
CCNA1,3
DLK1,3
HGF,3
MTCL1,3
DDIT4L,3
TAFA5,3
