Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	0.3600	656402-250MG	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K72238567	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=8975	None	NEU	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC012_NEU_24H:BRD-K72238567:10.0
2	0.2400	cyclosporin A	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A38030642	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16404350	None	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC001_HA1E_24H:BRD-A38030642:10.0
3	0.2400	phorbol-12-myristate-13-acetate (PMA)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A15079084	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4792	None	HA1E	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_HA1E_6H:BRD-A15079084:10.0
4	0.2400	Ingenol 3, 20-dibenzoate	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A52650764	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5225086	None	HA1E	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_HA1E_6H:BRD-A52650764:10.0
5	0.2400	curcumin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K74148702	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16760039	None	VCAP	48.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_VCAP_24H:BRD-K74148702:48.0
6	0.2400	dabrafenib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K09951645	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44462760	None	HT29	10um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP009_HT29_24H:BRD-K09951645:10
7	0.2400	palbociclib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K51313569	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5330286	None	HME1	0.37um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP006_HME1_24H:BRD-K51313569:0.37
8	0.2000	AG 592	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K89930444	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5467485	None	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC001_HA1E_24H:BRD-K89930444:10.0
9	0.2000	NSC 3852	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K13169950	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=19103	None	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC003_HA1E_24H:BRD-K13169950:10.0
10	0.2000	geldanamycin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19500257	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=13017911	None	A375	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_A375_6H:BRD-A19500257:10.0
11	0.2000	OXIBENDAZOLE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K52075715	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4622	None	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_HA1E_24H:BRD-K52075715:10.0
12	0.2000	DULOXETINE HYDROCHLORIDE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K71103788	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=60834	None	HA1E	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_HA1E_6H:BRD-K71103788:10.0
13	0.2000	Parthenolide	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K98548675	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6473881	None	HEC108	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_HEC108_6H:BRD-K98548675:10.0
14	0.2000	CT-200783	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K02822062	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73707405	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_MCF7_24H:BRD-K02822062:10.0
15	0.2000	BRD-K92317137	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K92317137	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=659101	None	PC3	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_PC3_6H:BRD-K92317137:10.0
16	0.2000	Ingenol 3, 20-dibenzoate	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A52650764	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5225086	None	SNGM	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_SNGM_6H:BRD-A52650764:10.0
17	0.2000	LY-2183240	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K37865504	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11507802	None	SW620	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_SW620_6H:BRD-K37865504:10.0
18	0.2000	piperlongumine (HPLC)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K24132293	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=637858	None	TYKNU	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_TYKNU_6H:BRD-K24132293:10.0
19	0.2000	BRD-K84203638	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K84203638	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3237904	None	PC3	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC007_PC3_6H:BRD-K84203638:10.0
20	0.2000	VU0410183-2	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K74710236	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44631784	None	A375	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_A375_24H:BRD-K74710236:10.0
21	0.2000	BRD-K74797618	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K74797618	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=72947407	None	NPC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC012_NPC_24H:BRD-K74797618:10.0
22	0.2000	S1057	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K15600710	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11404337	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC013_MCF7_24H:BRD-K15600710:10.0
23	0.2000	BRD-K18163752	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K18163752	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=24030598	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC013_MCF7_24H:BRD-K18163752:10.0
24	0.2000	BRD-K19166598	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K19166598	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44618018	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC013_MCF7_24H:BRD-K19166598:10.0
25	0.2000	GR-103	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K89085489	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5288209	None	NPC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC014_NPC_24H:BRD-K89085489:10.0
26	0.2000	BRD-A27887842	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A27887842	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5702106	None	A549	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC015_A549_24H:BRD-A27887842:10.0
27	0.2000	BRD-A17065207	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A17065207	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5362868	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC016_MCF7_24H:BRD-A17065207:10.0
28	0.2000	BRD-K82823804	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K82823804	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4369491	None	NPC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC017_NPC_24H:BRD-K82823804:10.0
29	0.2000	BRD-A29082194	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A29082194	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11012	None	SKB	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC018_SKB_24H:BRD-A29082194:10.0
30	0.2000	BRD-K91145395	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K91145395	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=454217	None	A375	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC019_A375_6H:BRD-K91145395:10.0
31	0.2000	PD-0325901	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K49865102	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9826528	None	HT29	0.12um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP009_HT29_24H:BRD-K49865102:0.12
32	0.2000	SB-203580	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A37704979	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=176155	None	HEPG2	10um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP009_HEPG2_24H:BRD-A37704979:10
33	0.2000	JWE-035	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K83972459	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=57340671	None	HA1E	10um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP009_HA1E_24H:BRD-K83972459:10
