Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	0.4286	656402-250MG	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K72238567	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=8975	None	NEU	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC012_NEU_24H:BRD-K72238567:10.0
2	0.3571	OXIBENDAZOLE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K52075715	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4622	None	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_HA1E_24H:BRD-K52075715:10.0
3	0.3571	DULOXETINE HYDROCHLORIDE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K71103788	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=60834	None	HA1E	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_HA1E_6H:BRD-K71103788:10.0
4	0.3571	BRD-K84203638	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K84203638	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3237904	None	PC3	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC007_PC3_6H:BRD-K84203638:10.0
5	0.2857	cyclosporin A	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A38030642	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16404350	None	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC001_HA1E_24H:BRD-A38030642:10.0
6	0.2857	GW 583340 dihydrochloride	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K79930101	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5329480	None	HCC515	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC001_HCC515_6H:BRD-K79930101:10.0
7	0.2857	OUABAIN	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A68930007	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=12420	None	PC3	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_PC3_24H:BRD-A68930007:10.0
8	0.2857	FK506	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K08845546	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=24140138	None	HT115	22.2um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_HT115_6H:BRD-K08845546:22.2
9	0.2857	CT-200783	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K02822062	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73707405	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_MCF7_24H:BRD-K02822062:10.0
10	0.2857	METHYLENE BLUE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K16406336	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4139	None	PC3	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_PC3_24H:BRD-K16406336:10.0
11	0.2857	MLN2238	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K78659596	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25183872	None	RMGI	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_RMGI_6H:BRD-K78659596:10.0
12	0.2857	LY-2183240	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K37865504	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11507802	None	SW620	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_SW620_6H:BRD-K37865504:10.0
13	0.2857	curcubitacin I	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A28105619	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73707401	None	VCAP	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_VCAP_24H:BRD-A28105619:10.0
14	0.2857	BRD-K82732294	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K82732294	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44142138	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC009_MCF7_24H:BRD-K82732294:10.0
15	0.2857	BRD-K83670234	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K83670234	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46907618	None	MCF7	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC009_MCF7_6H:BRD-K83670234:10.0
16	0.2857	tegaserod	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K21806131	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6918369	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC011_MCF7_24H:BRD-K21806131:10.0
