Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	0.2593	Parthenolide	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K98548675	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6473881	None	VCAP	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_VCAP_6H:BRD-K98548675:10.0
2	0.1852	DC-45-A2	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K79983625	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73707376	None	SNUC5	11.1um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_SNUC5_6H:BRD-K79983625:11.1
3	0.1852	NCGC00182382-01	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K87726525	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44142143	None	A375	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_A375_6H:BRD-K87726525:10.0
4	0.1852	BRD-A11087911	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A11087911	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=17757094	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC009_MCF7_24H:BRD-A11087911:10.0
5	0.1852	BRD-K52914903	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K52914903	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44202433	None	A549	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC013_A549_6H:BRD-K52914903:10.0
6	0.1852	(+)-JQ1	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K54606188	None	None	A375	1.11um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP008_A375_24H:BRD-K54606188:1.11
7	0.1481	trichostatin A	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19037878	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6376322	None	PC3	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC001_PC3_24H:BRD-A19037878:10.0
8	0.1481	SC-68376	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K85871428	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5174	None	HCC515	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC002_HCC515_24H:BRD-K85871428:10.0
9	0.1481	PD 160170	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K12079898	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9820766	None	VCAP	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC002_VCAP_24H:BRD-K12079898:10.0
10	0.1481	Pravastatin sodium salt	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K60511616	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=54687	http://www.drugbank.ca/drugs/DB00175	VCAP	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC002_VCAP_24H:BRD-K60511616:10.0
11	0.1481	Nizatidine	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K46652470	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5353831	None	VCAP	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC003_VCAP_24H:BRD-K46652470:10.0
12	0.1481	BRD-K66792149	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K66792149	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=17748	None	A375	11.1um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_A375_24H:BRD-K66792149:11.1
13	0.1481	BX-795	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K47983010	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10077147	None	CL34	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_CL34_6H:BRD-K47983010:10.0
14	0.1481	BRD-K94325918	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K94325918	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=20345	None	HT115	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_HT115_6H:BRD-K94325918:10.0
15	0.1481	BRD-K54256913	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K54256913	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=24856436	None	LOVO	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_LOVO_6H:BRD-K54256913:10.0
16	0.1481	BRD-K20755323	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K20755323	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=753704	None	MCF7	40.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_MCF7_6H:BRD-K20755323:40.0
17	0.1481	vorinostat	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K81418486	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311	http://www.drugbank.ca/drugs/DB02546	PC3	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_PC3_24H:BRD-K81418486:10.0
18	0.1481	chaetocin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A85860691	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=161591	None	SNGM	0.08um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_SNGM_6H:BRD-A85860691:0.08
19	0.1481	BRD-K09635314	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K09635314	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=761523	None	T3M10	80.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_T3M10_6H:BRD-K09635314:80.0
20	0.1481	AG14361	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K00615600	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9840076	None	THP1	25.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_THP1_6H:BRD-K00615600:25.0
21	0.1481	Parthenolide	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K81651477	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5420804	None	VCAP	20.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_VCAP_6H:BRD-K81651477:20.0
22	0.1481	BRD-K24426149	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K24426149	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2120347	None	A375	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC007_A375_24H:BRD-K24426149:10.0
23	0.1481	BRD-K60870698	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K60870698	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3238417	None	A375	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC007_A375_24H:BRD-K60870698:10.0
24	0.1481	BRD-K36038115	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K36038115	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46172919	None	HA1E	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC009_HA1E_6H:BRD-K36038115:10.0
25	0.1481	BRD-K42489623	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K42489623	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=26471808	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC009_MCF7_24H:BRD-K42489623:10.0
26	0.1481	geldanamycin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19500257	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=13017911	None	MCF7	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC009_MCF7_6H:BRD-A19500257:10.0
27	0.1481	BRD-A50675702	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A50675702	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3352	None	HEPG2	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC015_HEPG2_6H:BRD-A50675702:10.0
28	0.1481	BRD-K54906270	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K54906270	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5474706	None	ASC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC016_ASC_24H:BRD-K54906270:10.0
29	0.1481	BRD-K92683369	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K92683369	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=353825	None	ASC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC016_ASC_24H:BRD-K92683369:10.0
30	0.1481	BRD-K37865504	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K37865504	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11507802	None	NEU	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC016_NEU_24H:BRD-K37865504:10.0
31	0.1481	BRD-A17065207	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A17065207	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5362868	None	SKB	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC016_SKB_24H:BRD-A17065207:10.0
32	0.1481	sulindac	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A13946108	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=1548887	None	HCC515	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC020_HCC515_6H:BRD-A13946108:10.0
33	0.1481	dasatinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K49328571	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3062316	http://www.drugbank.ca/drugs/DB01254	A549	0.37um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP005_A549_24H:BRD-K49328571:0.37
34	0.1481	NVP-BEZ235	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K12184916	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11977753	None	HA1E	3.33um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP005_HA1E_24H:BRD-K12184916:3.33
