Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	0.3529	S1040	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K23984367	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=406563	None	NPC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC013_NPC_24H:BRD-K23984367:10.0
2	0.2941	OXIBENDAZOLE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K52075715	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4622	None	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_HA1E_24H:BRD-K52075715:10.0
3	0.2941	Ingenol 3, 20-dibenzoate	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A52650764	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5225086	None	CL34	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_CL34_6H:BRD-A52650764:10.0
4	0.2941	phorbol-12-myristate-13-acetate (PMA)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A15079084	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4792	None	SW620	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_SW620_6H:BRD-A15079084:10.0
5	0.2941	BRD-K84203638	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K84203638	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3237904	None	HT29	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC007_HT29_6H:BRD-K84203638:10.0
6	0.2941	S1057	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K15600710	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11404337	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC013_MCF7_24H:BRD-K15600710:10.0
7	0.2941	S1003	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K99749624	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11485656	None	A549	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC014_A549_6H:BRD-K99749624:10.0
8	0.2941	BRD-K96263742	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K96263742	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3392731	None	SKB	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC015_SKB_24H:BRD-K96263742:10.0
9	0.2941	BRD-K38477985	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K38477985	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16759147	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC016_MCF7_24H:BRD-K38477985:10.0
10	0.2941	OSI-027	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K94012289	None	None	HA1E	0.37um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP006_HA1E_24H:BRD-K94012289:0.37
11	0.2353	JAK3 Inhibitor VI	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K04546108	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9947841	None	HA1E	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC001_HA1E_6H:BRD-K04546108:10.0
12	0.2353	CPT 11	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K08547377	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=23581792	None	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC002_HA1E_24H:BRD-K08547377:10.0
13	0.2353	AM580	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K06854232	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2126	None	VCAP	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC003_VCAP_24H:BRD-K06854232:10.0
14	0.2353	CHLORAMBUCIL	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K29458283	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2708	http://www.drugbank.ca/drugs/DB00291	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_HA1E_24H:BRD-K29458283:10.0
15	0.2353	MITOTANE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A31204924	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4211	http://www.drugbank.ca/drugs/DB00648	HA1E	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_HA1E_6H:BRD-A31204924:10.0
16	0.2353	ABT-751	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K91623615	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3035714	None	AGS	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_AGS_6H:BRD-K91623615:10.0
17	0.2353	IMD 0354	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K74305673	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5081913	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_MCF7_24H:BRD-K74305673:10.0
18	0.2353	BRD-K94325918	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K94325918	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=20345	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_MCF7_24H:BRD-K94325918:10.0
19	0.2353	R406	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K20285085	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11213558	None	NCIH2073	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_NCIH2073_6H:BRD-K20285085:10.0
20	0.2353	NICLOSAMIDE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K35960502	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4477	http://www.drugbank.ca/drugs/DB06803	NCIH2073	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_NCIH2073_6H:BRD-K35960502:10.0
21	0.2353	MST- 312	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K19894101	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10385095	None	PC3	11.1um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_PC3_24H:BRD-K19894101:11.1
22	0.2353	BX-795	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K47983010	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10077147	None	PC3	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_PC3_24H:BRD-K47983010:10.0
23	0.2353	PAC 1	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K92991072	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6851947	None	PC3	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_PC3_24H:BRD-K92991072:10.0
24	0.2353	Salermide	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A67788537	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=42626405	None	SNUC5	120.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_SNUC5_6H:BRD-A67788537:120.0
25	0.2353	LY-2183240	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K37865504	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11507802	None	SW620	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_SW620_6H:BRD-K37865504:10.0
26	0.2353	BRD-K92317137	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K92317137	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=659101	None	SW620	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_SW620_6H:BRD-K92317137:10.0
27	0.2353	BRD-K86574132	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K86574132	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7326481	None	THP1	48.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_THP1_6H:BRD-K86574132:48.0
28	0.2353	BIBR1532	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K04623885	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9927531	None	WSUDLCL2	80.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_WSUDLCL2_6H:BRD-K04623885:80.0
29	0.2353	BRD-K84203638	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K84203638	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3237904	None	A375	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC007_A375_6H:BRD-K84203638:10.0
30	0.2353	BRD-K84203638	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K84203638	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3237904	None	PC3	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC007_PC3_6H:BRD-K84203638:10.0
31	0.2353	MLS-0437446.0001	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K32636001	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9581015	None	A375	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_A375_6H:BRD-K32636001:10.0
32	0.2353	NCGC00241726-01	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K05979026	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=60138116	None	A549	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_A549_6H:BRD-K05979026:10.0
33	0.2353	BRD-K58853583	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K58853583	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46907631	None	HEPG2	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_HEPG2_6H:BRD-K58853583:10.0
34	0.2353	MLS-0437446.0001	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K32636001	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9581015	None	MCF7	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_MCF7_6H:BRD-K32636001:10.0
35	0.2353	BRD-K74797618	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K74797618	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=72947407	None	HCC515	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC012_HCC515_6H:BRD-K74797618:10.0
36	0.2353	656402-250MG	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K72238567	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=8975	None	NEU	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC012_NEU_24H:BRD-K72238567:10.0
37	0.2353	BRD-K80786583	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K80786583	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44616501	None	A549	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC013_A549_24H:BRD-K80786583:10.0
38	0.2353	HY-11068	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K82091397	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5166	None	ASC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC014_ASC_24H:BRD-K82091397:10.0
39	0.2353	EI-215	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K40255344	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5614	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC014_MCF7_24H:BRD-K40255344:10.0
40	0.2353	A-1065	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K94294671	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=72698550	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC014_MCF7_24H:BRD-K94294671:10.0
41	0.2353	BRD-K40175214	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K40175214	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=49836027	None	PC3	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC014_PC3_24H:BRD-K40175214:10.0
42	0.2353	BRD-A48237631	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A48237631	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5702003	None	ASC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC015_ASC_24H:BRD-A48237631:10.0
43	0.2353	BRD-K96263742	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K96263742	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3392731	None	ASC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC015_ASC_24H:BRD-K96263742:10.0
44	0.2353	BRD-K39987650	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K39987650	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2391	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC015_MCF7_24H:BRD-K39987650:10.0
45	0.2353	BRD-A68930007	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A68930007	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=12420	None	NPC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC015_NPC_24H:BRD-A68930007:10.0
46	0.2353	BRD-A94756469	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A94756469	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5702042	None	ASC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC017_ASC_24H:BRD-A94756469:10.0
47	0.2353	BRD-K23478508	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K23478508	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2724385	None	NPC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC017_NPC_24H:BRD-K23478508:10.0
48	0.2353	BRD-K63606607	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K63606607	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9547215	None	NPC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC018_NPC_24H:BRD-K63606607:10.0
